id,pokemon,species_id,height,weight,base_experience,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,color_1,color_2,color_f,egg_group_1,egg_group_2
1,bulbasaur,1,0.7,6.9,64,grass,poison,45,49,49,65,65,45,#78C850,#A040A0,#81A763,monster,plant
2,ivysaur,2,1,13,142,grass,poison,60,62,63,80,80,60,#78C850,#A040A0,#81A763,monster,plant
3,venusaur,3,2,100,236,grass,poison,80,82,83,100,100,80,#78C850,#A040A0,#81A763,monster,plant
4,charmander,4,0.6,8.5,62,fire,NA,39,52,43,60,50,65,#F08030,NA,NA,monster,dragon
5,charmeleon,5,1.1,19,142,fire,NA,58,64,58,80,65,80,#F08030,NA,NA,monster,dragon
6,charizard,6,1.7,90.5,240,fire,flying,78,84,78,109,85,100,#F08030,#A890F0,#DE835E,monster,dragon
7,squirtle,7,0.5,9,63,water,NA,44,48,65,50,64,43,#6890F0,NA,NA,monster,water1
8,wartortle,8,1,22.5,142,water,NA,59,63,80,65,80,58,#6890F0,NA,NA,monster,water1
9,blastoise,9,1.6,85.5,239,water,NA,79,83,100,85,105,78,#6890F0,NA,NA,monster,water1
10,caterpie,10,0.3,2.9,39,bug,NA,45,30,35,20,20,45,#A8B820,NA,NA,bug,NA
11,metapod,11,0.7,9.9,72,bug,NA,50,20,55,25,25,30,#A8B820,NA,NA,bug,NA
12,butterfree,12,1.1,32,178,bug,flying,60,45,50,90,80,70,#A8B820,#A890F0,#A8AE52,bug,NA
13,weedle,13,0.3,3.2,39,bug,poison,40,35,30,20,20,50,#A8B820,#A040A0,#A69A3F,bug,NA
14,kakuna,14,0.6,10,72,bug,poison,45,25,50,25,25,35,#A8B820,#A040A0,#A69A3F,bug,NA
15,beedrill,15,1,29.5,178,bug,poison,65,90,40,45,80,75,#A8B820,#A040A0,#A69A3F,bug,NA
16,pidgey,16,0.3,1.8,50,normal,flying,40,45,40,35,35,56,#A8A878,#A890F0,#A8A295,flying,NA
17,pidgeotto,17,1.1,30,122,normal,flying,63,60,55,50,50,71,#A8A878,#A890F0,#A8A295,flying,NA
18,pidgeot,18,1.5,39.5,216,normal,flying,83,80,75,70,70,101,#A8A878,#A890F0,#A8A295,flying,NA
19,rattata,19,0.3,3.5,51,normal,NA,30,56,35,25,35,72,#A8A878,NA,NA,ground,NA
20,raticate,20,0.7,18.5,145,normal,NA,55,81,60,50,70,97,#A8A878,NA,NA,ground,NA
21,spearow,21,0.3,2,52,normal,flying,40,60,30,31,31,70,#A8A878,#A890F0,#A8A295,flying,NA
22,fearow,22,1.2,38,155,normal,flying,65,90,65,61,61,100,#A8A878,#A890F0,#A8A295,flying,NA
23,ekans,23,2,6.9,58,poison,NA,35,60,44,40,54,55,#A040A0,NA,NA,ground,dragon
24,arbok,24,3.5,65,157,poison,NA,60,95,69,65,79,80,#A040A0,NA,NA,ground,dragon
25,pikachu,25,0.4,6,112,electric,NA,35,55,40,50,50,90,#F8D030,NA,NA,ground,fairy
26,raichu,26,0.8,30,218,electric,NA,60,90,55,90,80,110,#F8D030,NA,NA,ground,fairy
27,sandshrew,27,0.6,12,60,ground,NA,50,75,85,20,30,40,#E0C068,NA,NA,ground,NA
28,sandslash,28,1,29.5,158,ground,NA,75,100,110,45,55,65,#E0C068,NA,NA,ground,NA
29,nidoran-f,29,0.4,7,55,poison,NA,55,47,52,40,40,41,#A040A0,NA,NA,monster,ground
30,nidorina,30,0.8,20,128,poison,NA,70,62,67,55,55,56,#A040A0,NA,NA,no-eggs,NA
31,nidoqueen,31,1.3,60,227,poison,ground,90,92,87,75,85,76,#A040A0,#E0C068,#AF5F92,no-eggs,NA
32,nidoran-m,32,0.5,9,55,poison,NA,46,57,40,40,40,50,#A040A0,NA,NA,monster,ground
33,nidorino,33,0.9,19.5,128,poison,NA,61,72,57,55,55,65,#A040A0,NA,NA,monster,ground
34,nidoking,34,1.4,62,227,poison,ground,81,102,77,85,75,85,#A040A0,#E0C068,#AF5F92,monster,ground
35,clefairy,35,0.6,7.5,113,fairy,NA,70,45,48,60,65,35,#EE99AC,NA,NA,fairy,NA
36,clefable,36,1.3,40,217,fairy,NA,95,70,73,95,90,60,#EE99AC,NA,NA,fairy,NA
37,vulpix,37,0.6,9.9,60,fire,NA,38,41,40,50,65,65,#F08030,NA,NA,ground,NA
38,ninetales,38,1.1,19.9,177,fire,NA,73,76,75,81,100,100,#F08030,NA,NA,ground,NA
39,jigglypuff,39,0.5,5.5,95,normal,fairy,115,45,20,45,25,20,#A8A878,#EE99AC,#B8A484,fairy,NA
40,wigglytuff,40,1,12,196,normal,fairy,140,70,45,85,50,45,#A8A878,#EE99AC,#B8A484,fairy,NA
41,zubat,41,0.8,7.5,49,poison,flying,40,45,35,30,40,55,#A040A0,#A890F0,#A153B3,flying,NA
42,golbat,42,1.6,55,159,poison,flying,75,80,70,65,75,90,#A040A0,#A890F0,#A153B3,flying,NA
43,oddish,43,0.5,5.4,64,grass,poison,45,50,55,75,65,30,#78C850,#A040A0,#81A763,plant,NA
44,gloom,44,0.8,8.6,138,grass,poison,60,65,70,85,75,40,#78C850,#A040A0,#81A763,plant,NA
45,vileplume,45,1.2,18.6,221,grass,poison,75,80,85,110,90,50,#78C850,#A040A0,#81A763,plant,NA
46,paras,46,0.3,5.4,57,bug,grass,35,70,55,45,55,25,#A8B820,#78C850,#9CBB2B,bug,plant
47,parasect,47,1,29.5,142,bug,grass,60,95,80,60,80,30,#A8B820,#78C850,#9CBB2B,bug,plant
